system:index,Agricultural,Nature,Urban,location,year,.geo
1_0,7528.131189308803,4528.923570188682,3188.6461694397294,Chilliwack,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,6669.3068859297955,5063.561942547538,3525.612312154164,Chilliwack,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,6792.767103652377,4499.488164622173,3966.2258723569503,Chilliwack,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,6953.164767098798,4391.4591759678715,3913.8571975647997,Chilliwack,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,7614.986760239828,4326.901300152543,3316.1213715231734,Chilliwack,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6538.552959097124,4420.361665040391,4299.566516493996,Chilliwack,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,11518.485026662196,1703.2251714863612,2028.8665431645695,Lynden,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,11053.421768012606,1513.0832092641856,2400.4496282031823,Lynden,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,10965.856181127328,1013.9485742985623,3277.9229106371595,Lynden,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,11000.55040737681,1550.2466782583447,2706.930580427895,Lynden,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,8995.852017036217,3515.5668060603925,2724.000694791111,Lynden,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,11387.578828839745,1943.7468997626995,1916.3435252534464,Lynden,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
